
2024/11/26 (00:31:22) | ===> btop++ v.1.4.0
2024/11/26 (00:31:22) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/26 (00:31:33) | ===> btop++ v.1.4.0
2024/11/26 (00:31:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/26 (00:31:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (00:31:45) | ===> btop++ v.1.4.0
2024/11/26 (00:31:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/26 (00:31:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (01:28:00) | ===> btop++ v.1.4.0
2024/11/26 (01:28:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/26 (01:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (18:06:07) | ===> btop++ v.1.4.0
2024/11/26 (18:06:07) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/26 (18:06:09) | ===> btop++ v.1.4.0
2024/11/26 (18:06:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/26 (18:06:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (16:13:32) | ===> btop++ v.1.4.0
2024/11/27 (16:13:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/27 (16:13:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (22:25:40) | ===> btop++ v.1.4.0
2024/11/27 (22:25:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/27 (22:25:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:57:30) | ===> btop++ v.1.4.0
2024/11/28 (14:57:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/28 (14:57:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (16:46:02) | ===> btop++ v.1.4.0
2024/11/28 (16:46:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/28 (16:46:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (17:20:21) | ===> btop++ v.1.4.0
2024/11/30 (17:20:21) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/30 (17:20:24) | ===> btop++ v.1.4.0
2024/11/30 (17:20:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/30 (17:20:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (22:29:52) | ===> btop++ v.1.4.0
2024/11/30 (22:29:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/30 (22:29:52) | WARNING: Intel GPU: Failed to initialize PMU
